;dat_reference;dat_previsao;num_termo;val_vaz_pred;val_vaz_true
265;2014-02-15;2014-02-20;6;50,29292702921704;72,0
266;2014-02-15;2014-02-21;7;51,67777942321518;69,0
267;2014-02-15;2014-02-22;8;49,76744984337186;67,0
268;2014-02-15;2014-02-23;9;50,47519939248263;63,0
269;2014-02-15;2014-02-24;10;48,87340902544353;60,0
270;2014-02-22;2014-02-22;1;49,60132395370628;67,0
271;2014-02-22;2014-02-23;2;50,807435285053145;63,0
272;2014-02-22;2014-02-24;3;49,81198475427497;60,0
273;2014-02-22;2014-02-25;4;47,67211593146143;56,0
274;2014-02-22;2014-02-26;5;50,489263600226415;54,0
275;2014-02-22;2014-02-27;6;60,0951980881439;52,0
276;2014-02-22;2014-02-28;7;67,14967949806116;51,0
277;2014-02-22;2014-03-01;8;75,66320761077115;53,0
278;2014-02-22;2014-03-02;9;75,59010282122645;58,0
279;2014-02-22;2014-03-03;10;72,37902172802208;65,0
280;2014-03-01;2014-03-01;1;75,83553984209058;53,0
281;2014-03-01;2014-03-02;2;76,00054010148936;58,0
282;2014-03-01;2014-03-03;3;71,75284395144972;65,0
283;2014-03-01;2014-03-04;4;71,4269609697428;71,0
284;2014-03-01;2014-03-05;5;67,266850489593;70,0
285;2014-03-01;2014-03-06;6;66,62173898012512;65,0
286;2014-03-01;2014-03-07;7;63,470312445581136;64,0
287;2014-03-01;2014-03-08;8;58,004817270156785;76,0
288;2014-03-01;2014-03-09;9;56,31546680567567;88,0
289;2014-03-01;2014-03-10;10;53,980479722632175;95,0
290;2014-03-08;2014-03-08;1;57,59660928129495;76,0
291;2014-03-08;2014-03-09;2;55,572860982699275;88,0
292;2014-03-08;2014-03-10;3;54,574039845630146;95,0
293;2014-03-08;2014-03-11;4;51,59248025534401;92,0
294;2014-03-08;2014-03-12;5;54,007857037252954;82,0
295;2014-03-08;2014-03-13;6;51,32600192608344;75,0
296;2014-03-08;2014-03-14;7;61,50672877740321;68,0
297;2014-03-08;2014-03-15;8;65,91646112894719;63,0
298;2014-03-08;2014-03-16;9;70,39504771980134;60,0
299;2014-03-08;2014-03-17;10;69,86800035669252;58,0
300;2014-03-15;2014-03-15;1;65,93928424747601;63,0
301;2014-03-15;2014-03-16;2;71,15928974820184;60,0
302;2014-03-15;2014-03-17;3;70,06168098312514;58,0
303;2014-03-15;2014-03-18;4;62,07160483125869;57,0
304;2014-03-15;2014-03-19;5;63,50584031957583;55,0
305;2014-03-15;2014-03-20;6;79,81329258673847;54,0
306;2014-03-15;2014-03-21;7;88,81099681506512;53,0
307;2014-03-15;2014-03-22;8;95,12817612610743;53,0
308;2014-03-15;2014-03-23;9;92,07573356059916;55,0
309;2014-03-15;2014-03-24;10;80,54700226792244;56,0
310;2014-03-22;2014-03-22;1;95,17700845354892;53,0
311;2014-03-22;2014-03-23;2;91,59473194945741;55,0
312;2014-03-22;2014-03-24;3;80,09290779240824;56,0
313;2014-03-22;2014-03-25;4;75,28341998960778;55,0
314;2014-03-22;2014-03-26;5;68,53822761053723;53,0
315;2014-03-22;2014-03-27;6;63,30054233938609;52,0
316;2014-03-22;2014-03-28;7;61,43626929646768;52,0
317;2014-03-22;2014-03-29;8;60,55386007375015;51,0
318;2014-03-22;2014-03-30;9;58,61315303814452;50,0
319;2014-03-22;2014-03-31;10;54,90303985454309;51,0
320;2014-03-29;2014-03-29;1;59,8220876309168;51,0
321;2014-03-29;2014-03-30;2;57,222472748602705;50,0
322;2014-03-29;2014-03-31;3;55,91300503332716;51,0
323;2014-03-29;2014-04-01;4;55,95086388989524;57,0
324;2014-03-29;2014-04-02;5;54,92663965688975;63,0
325;2014-03-29;2014-04-03;6;53,04662406095344;64,0
326;2014-03-29;2014-04-04;7;57,10220401364514;69,0
327;2014-03-29;2014-04-05;8;54,13202327594427;68,0
328;2014-03-29;2014-04-06;9;55,051553722681625;63,0
329;2014-03-29;2014-04-07;10;52,18799904918334;61,0
330;2014-04-05;2014-04-05;1;54,06486723619855;68,0
331;2014-04-05;2014-04-06;2;54,78175055267742;63,0
332;2014-04-05;2014-04-07;3;52,41479207779996;61,0
333;2014-04-05;2014-04-08;4;52,835209401429154;59,0
334;2014-04-05;2014-04-09;5;53,12562154939487;58,0
335;2014-04-05;2014-04-10;6;51,25982256315719;56,0
336;2014-04-05;2014-04-11;7;51,40390508377181;53,0
337;2014-04-05;2014-04-12;8;51,309570120285855;51,0
338;2014-04-05;2014-04-13;9;58,09612476477125;50,0
339;2014-04-05;2014-04-14;10;62,19079530024148;50,0
340;2014-04-12;2014-04-12;1;51,55692200232226;51,0
341;2014-04-12;2014-04-13;2;58,514678190871685;50,0
342;2014-04-12;2014-04-14;3;61,802535375249946;50,0
343;2014-04-12;2014-04-15;4;65,28882782025278;52,0
344;2014-04-12;2014-04-16;5;70,09576667485806;54,0
345;2014-04-12;2014-04-17;6;68,40731454250356;60,0
346;2014-04-12;2014-04-18;7;60,52042455077946;69,0
347;2014-04-12;2014-04-19;8;61,479716915597315;68,0
348;2014-04-12;2014-04-20;9;56,221489930615654;62,0
349;2014-04-12;2014-04-21;10;58,920290754899405;59,0
350;2014-04-19;2014-04-19;1;61,49358409639352;68,0
351;2014-04-19;2014-04-20;2;56,090118926978484;62,0
352;2014-04-19;2014-04-21;3;58,75780464010912;59,0
353;2014-04-19;2014-04-22;4;57,32652001710803;57,0
354;2014-04-19;2014-04-23;5;51,68106414058803;54,0
355;2014-04-19;2014-04-24;6;50,998531982891215;52,0
356;2014-04-19;2014-04-25;7;51,479363988972906;51,0
357;2014-04-19;2014-04-26;8;51,63854299599661;51,0
358;2014-04-19;2014-04-27;9;53,82143946263904;50,0
